cohort,pool,n_held_out,n_cells_mature,candidate,null_rejection,null_rejection_mcse,null_stream_min,null_stream_max,null_abstention_rate,null_median_width,n_scored_null,discrimination,discrimination_mcse,draw_reference_inclusion,draw_reference_inclusion_mcse,alt_abstention_rate,alt_median_width,n_scored_alt,width_ratio_vs_percentile,baseline_discrimination,source_verdict,interval_object
kul3,reference,2,50,patient_cluster,0.2614232209737828,0.012026223547568311,0.25190839694656486,0.2826855123674912,0.3325,6.536825175500963,1335,0.5408708938120703,0.013773502590024241,0.8456837280366692,0.009984815062582409,0.3455,4.824362777543745,1309,0.8079986434729252,0.493,fails_null,within_patient_over_cells
kul3,reference,2,50,percentile,0.1735,0.008467518821945422,0.1525,0.195,0.0,8.09014375,2000,0.493,0.01117924416049672,0.8745,0.007407757757918383,0.0,4.706437499999998,2000,1.0,0.493,fails_null,within_patient_over_cells
kul3,reference,2,50,pseudobulk_patient_t,0.04644194756554307,0.005759544631387592,0.030534351145038167,0.05653710247349823,0.3325,43.67044360623739,1335,0.07792207792207792,0.00740873824371798,0.972498090145149,0.004520182633294776,0.3455,31.882005992526707,1309,5.397981167669288,0.493,passes_by_abstention,within_patient_over_cells
kul3,reference,2,50,studentised,0.1655,0.008309926293295267,0.15,0.185,0.0,12.412444374335042,2000,0.4185,0.011030814793114786,0.8635,0.007676840170278393,0.0,5.1174824935120835,2000,1.5342674688981939,0.493,fails_null,within_patient_over_cells
kul3,reference,2,50,welch_t,0.1835,0.00865528018032923,0.1725,0.2,0.0,8.521066862866949,2000,0.5205,0.011170938859379725,0.881,0.0072401312142805815,0.0,4.8412165555282485,2000,1.0532651985160275,0.493,fails_null,within_patient_over_cells
kul3,reference,2,100,bca,0.1125,0.0070655413805312895,0.0975,0.1475,0.0,7.244625716182897,2000,0.467,0.011155962531310331,0.942,0.005226662414964259,0.0,4.302984272677128,2000,1.0731099620422948,0.528,fails_null,within_patient_over_cells
kul3,reference,2,100,patient_cluster,0.22131147540983606,0.011332026883130758,0.17625899280575538,0.24031007751937986,0.329,5.921445543641522,1342,0.5203552923760177,0.013591961694449964,0.8719467061435974,0.009091021257117176,0.3245,4.57723416489106,1351,0.8771139395619051,0.528,fails_null,within_patient_over_cells
kul3,reference,2,100,percentile,0.1165,0.007173832657652393,0.1075,0.1425,0.0,6.75105625,2000,0.528,0.011162795348836239,0.955,0.004635461142108735,0.0,4.21393125,2000,1.0,0.528,fails_null,within_patient_over_cells
kul3,reference,2,100,pseudobulk_patient_t,0.05067064083457526,0.0059870156943159615,0.04044117647058824,0.06060606060606061,0.329,35.108276961060085,1342,0.08734270910436713,0.007681384742017893,0.9674315321983715,0.004829265790267112,0.3245,26.646328877751273,1351,5.200412448209135,0.528,passes_by_abstention,within_patient_over_cells
kul3,reference,2,100,studentised,0.1085,0.006954414065900879,0.095,0.13,0.0,7.9939289201167805,2000,0.4715,0.01116216264887768,0.941,0.005268728499363013,0.0,4.306719230494036,2000,1.1841004761464964,0.528,fails_null,within_patient_over_cells
kul3,reference,2,100,welch_t,0.118,0.007213736895673421,0.095,0.15,0.0,6.852282508701601,2000,0.5525,0.011118537448783451,0.961,0.004328914413568374,0.0,4.251654722943153,2000,1.0149941364659196,0.528,fails_null,within_patient_over_cells
kul3,reference,2,800,bca,0.056,0.005141206084179081,0.0425,0.0725,0.0,3.7622860821667516,2000,0.9045,0.006571900410079265,0.9955,0.0014966211945579198,0.0,3.0681766998570437,2000,1.0004067884396264,0.886,pass,within_patient_over_cells
kul3,reference,2,800,patient_cluster,0.11929307805596466,0.008795761446770623,0.11567164179104478,0.12639405204460966,0.321,5.685144128081944,1358,0.49181547619047616,0.013636790812656884,0.9293154761904762,0.006991077535448686,0.328,4.2946218850410425,1344,1.5117023678633643,0.886,fails_null,within_patient_over_cells
kul3,reference,2,800,percentile,0.0505,0.00489641450451246,0.0375,0.0625,0.0,3.7607562499999987,2000,0.886,0.007106475919891659,0.9965,0.0013205585939290896,0.0,3.0163624999999987,2000,1.0,0.886,pass,within_patient_over_cells
kul3,reference,2,800,pseudobulk_patient_t,0.036818851251840944,0.005110215551046349,0.018656716417910446,0.04878048780487805,0.321,16.800250654962127,1358,0.10044642857142858,0.00819938221570693,0.9791666666666666,0.0038959022997036266,0.328,18.496365270003825,1344,4.467253269860851,0.886,passes_by_abstention,within_patient_over_cells
kul3,reference,2,800,studentised,0.0595,0.005289600646551685,0.0475,0.0725,0.0,3.7768849303427667,2000,0.9,0.006708203932499368,0.9945,0.0016537457482938467,0.0,3.0815364941652437,2000,1.0042886800607638,0.886,pass,within_patient_over_cells
kul3,reference,2,800,welch_t,0.0465,0.004708383480558906,0.0325,0.0575,0.0,3.7827354846847863,2000,0.8685,0.007556710593902613,0.996,0.0014113823011501884,0.0,3.0404210703178727,2000,1.0058443656604406,0.886,pass,within_patient_over_cells
kul3,reference,5,5,patient_cluster,0.622802611752888,0.010862353221199085,0.6075,0.6507537688442211,0.0045,5.197431905307646,1991,0.6900702106318957,0.010356564720679065,0.6780341023069207,0.010463286783742524,0.003,4.79707406440354,1994,1.495984041277222,0.687,fails_null,within_patient_over_cells
