cohort,pool,n_held_out,n_cells_mature,shift,candidate,n_streams,n_attempted,n_scored,n_abstained,n_excludes_zero,n_covered,median_ci_width,stream_min_rate,stream_max_rate,excludes_zero_rate,coverage,abstention_rate,excludes_zero_mcse,coverage_mcse
kul3,reference,2,50,0.5,pseudobulk_patient_t,5,2000.0,1309,691.0,102.0,1273.0,31.882005992526707,0.06766917293233082,0.10526315789473684,0.07792207792207792,0.972498090145149,0.3455,0.00740873824371798,0.004520182633294776
kul3,reference,2,50,0.5,studentised,5,2000.0,2000,0.0,837.0,1727.0,5.1174824935120835,0.3875,0.4375,0.4185,0.8635,0.0,0.011030814793114786,0.007676840170278393
kul3,reference,2,50,0.5,welch_t,5,2000.0,2000,0.0,1041.0,1762.0,4.8412165555282485,0.495,0.5325,0.5205,0.881,0.0,0.011170938859379725,0.0072401312142805815
kul3,reference,2,50,1.0,bca,5,2000.0,2000,0.0,336.0,1664.0,9.650787545088026,0.145,0.1875,0.168,0.832,0.0,0.008359904305672404,0.008359904305672405
kul3,reference,2,50,1.0,patient_cluster,5,2000.0,1335,665.0,349.0,986.0,6.536825175500963,0.25190839694656486,0.2826855123674912,0.2614232209737828,0.7385767790262172,0.3325,0.012026223547568311,0.012026223547568311
kul3,reference,2,50,1.0,percentile,5,2000.0,2000,0.0,347.0,1653.0,8.09014375,0.1525,0.195,0.1735,0.8265,0.0,0.008467518821945422,0.008467518821945422
kul3,reference,2,50,1.0,pseudobulk_patient_t,5,2000.0,1335,665.0,62.0,1273.0,43.67044360623739,0.030534351145038167,0.05653710247349823,0.04644194756554307,0.9535580524344569,0.3325,0.005759544631387592,0.005759544631387593
kul3,reference,2,50,1.0,studentised,5,2000.0,2000,0.0,331.0,1669.0,12.412444374335042,0.15,0.185,0.1655,0.8345,0.0,0.008309926293295267,0.008309926293295265
kul3,reference,2,50,1.0,welch_t,5,2000.0,2000,0.0,367.0,1633.0,8.521066862866949,0.1725,0.2,0.1835,0.8165,0.0,0.00865528018032923,0.00865528018032923
kul3,reference,2,100,0.5,bca,5,2000.0,2000,0.0,934.0,1884.0,4.302984272677128,0.4325,0.4975,0.467,0.942,0.0,0.011155962531310331,0.005226662414964259
kul3,reference,2,100,0.5,patient_cluster,5,2000.0,1351,649.0,703.0,1178.0,4.57723416489106,0.44814814814814813,0.5622489959839357,0.5203552923760177,0.8719467061435974,0.3245,0.013591961694449964,0.009091021257117176
kul3,reference,2,100,0.5,percentile,5,2000.0,2000,0.0,1056.0,1910.0,4.21393125,0.495,0.5625,0.528,0.955,0.0,0.011162795348836239,0.004635461142108735
kul3,reference,2,100,0.5,pseudobulk_patient_t,5,2000.0,1351,649.0,118.0,1307.0,26.646328877751273,0.0673758865248227,0.11654135338345864,0.08734270910436713,0.9674315321983715,0.3245,0.007681384742017893,0.004829265790267112
kul3,reference,2,100,0.5,studentised,5,2000.0,2000,0.0,943.0,1882.0,4.306719230494036,0.4325,0.4925,0.4715,0.941,0.0,0.01116216264887768,0.005268728499363013
kul3,reference,2,100,0.5,welch_t,5,2000.0,2000,0.0,1105.0,1922.0,4.251654722943153,0.515,0.5775,0.5525,0.961,0.0,0.011118537448783451,0.004328914413568374
kul3,reference,2,100,1.0,bca,5,2000.0,2000,0.0,225.0,1775.0,7.244625716182897,0.0975,0.1475,0.1125,0.8875,0.0,0.0070655413805312895,0.007065541380531291
kul3,reference,2,100,1.0,patient_cluster,5,2000.0,1342,658.0,297.0,1045.0,5.921445543641522,0.17625899280575538,0.24031007751937986,0.22131147540983606,0.7786885245901639,0.329,0.011332026883130758,0.01133202688313076
kul3,reference,2,100,1.0,percentile,5,2000.0,2000,0.0,233.0,1767.0,6.75105625,0.1075,0.1425,0.1165,0.8835,0.0,0.007173832657652393,0.007173832657652395
kul3,reference,2,100,1.0,pseudobulk_patient_t,5,2000.0,1342,658.0,68.0,1274.0,35.108276961060085,0.04044117647058824,0.06060606060606061,0.05067064083457526,0.9493293591654247,0.329,0.0059870156943159615,0.005987015694315964
kul3,reference,2,100,1.0,studentised,5,2000.0,2000,0.0,217.0,1783.0,7.9939289201167805,0.095,0.13,0.1085,0.8915,0.0,0.006954414065900879,0.00695441406590088
kul3,reference,2,100,1.0,welch_t,5,2000.0,2000,0.0,236.0,1764.0,6.852282508701601,0.095,0.15,0.118,0.882,0.0,0.007213736895673421,0.007213736895673421
kul3,reference,2,800,0.5,bca,5,2000.0,2000,0.0,1809.0,1991.0,3.0681766998570437,0.8925,0.925,0.9045,0.9955,0.0,0.006571900410079265,0.0014966211945579198
kul3,reference,2,800,0.5,patient_cluster,5,2000.0,1344,656.0,661.0,1249.0,4.2946218850410425,0.45936395759717313,0.5503875968992248,0.49181547619047616,0.9293154761904762,0.328,0.013636790812656884,0.006991077535448686
kul3,reference,2,800,0.5,percentile,5,2000.0,2000,0.0,1772.0,1993.0,3.0163624999999987,0.8675,0.905,0.886,0.9965,0.0,0.007106475919891659,0.0013205585939290896
kul3,reference,2,800,0.5,pseudobulk_patient_t,5,2000.0,1344,656.0,135.0,1316.0,18.496365270003825,0.06713780918727916,0.12403100775193798,0.10044642857142858,0.9791666666666666,0.328,0.00819938221570693,0.0038959022997036266
kul3,reference,2,800,0.5,studentised,5,2000.0,2000,0.0,1800.0,1989.0,3.0815364941652437,0.88,0.92,0.9,0.9945,0.0,0.006708203932499368,0.0016537457482938467
kul3,reference,2,800,0.5,welch_t,5,2000.0,2000,0.0,1737.0,1992.0,3.0404210703178727,0.85,0.885,0.8685,0.996,0.0,0.007556710593902613,0.0014113823011501884
kul3,reference,2,800,1.0,bca,5,2000.0,2000,0.0,112.0,1888.0,3.7622860821667516,0.0425,0.0725,0.056,0.944,0.0,0.005141206084179081,0.005141206084179083
kul3,reference,2,800,1.0,patient_cluster,5,2000.0,1358,642.0,162.0,1196.0,5.685144128081944,0.11567164179104478,0.12639405204460966,0.11929307805596466,0.8807069219440353,0.321,0.008795761446770623,0.008795761446770625
kul3,reference,2,800,1.0,percentile,5,2000.0,2000,0.0,101.0,1899.0,3.7607562499999987,0.0375,0.0625,0.0505,0.9495,0.0,0.00489641450451246,0.0048964145045124596
kul3,reference,2,800,1.0,pseudobulk_patient_t,5,2000.0,1358,642.0,50.0,1308.0,16.800250654962127,0.018656716417910446,0.04878048780487805,0.036818851251840944,0.9631811487481591,0.321,0.005110215551046349,0.005110215551046347
kul3,reference,2,800,1.0,studentised,5,2000.0,2000,0.0,119.0,1881.0,3.7768849303427667,0.0475,0.0725,0.0595,0.9405,0.0,0.005289600646551685,0.005289600646551685
kul3,reference,2,800,1.0,welch_t,5,2000.0,2000,0.0,93.0,1907.0,3.7827354846847863,0.0325,0.0575,0.0465,0.9535,0.0,0.004708383480558906,0.004708383480558906
kul3,reference,5,5,0.5,patient_cluster,5,2000.0,1994,6.0,1376.0,1352.0,4.79707406440354,0.6708542713567839,0.705,0.6900702106318957,0.6780341023069207,0.003,0.010356564720679065,0.010463286783742524
kul3,reference,5,5,0.5,percentile,5,2000.0,2000,0.0,1374.0,827.0,3.1374749999999993,0.6575,0.705,0.687,0.4135,0.0,0.01036896812609625,0.011011760758389187
kul3,reference,5,5,0.5,pseudobulk_patient_t,5,2000.0,1994,6.0,428.0,1928.0,13.949195565454936,0.19597989949748743,0.24,0.21464393179538616,0.966900702106319,0.003,0.009194540548450106,0.004006247276195927
kul3,reference,5,5,1.0,patient_cluster,5,2000.0,1991,9.0,1240.0,751.0,5.197431905307646,0.6075,0.6507537688442211,0.622802611752888,0.377197388247112,0.0045,0.010862353221199085,0.010862353221199085
kul3,reference,5,5,1.0,percentile,5,2000.0,2000,0.0,1210.0,790.0,3.4742562499999994,0.5875,0.65,0.605,0.395,0.0,0.010931033802893484,0.010931033802893484
kul3,reference,5,5,1.0,pseudobulk_patient_t,5,2000.0,1991,9.0,372.0,1619.0,16.139638317276493,0.145,0.21265822784810126,0.1868407835258664,0.8131592164741336,0.0045,0.008735504751491947,0.008735504751491947
kul3,reference,5,50,0.5,patient_cluster,5,2000.0,2000,0.0,874.0,1928.0,5.709556180386177,0.4225,0.4475,0.437,0.964,0.0,0.01109123527836282,0.0041655731898503495
kul3,reference,5,50,0.5,percentile,5,2000.0,2000,0.0,949.0,1754.0,4.879037499999999,0.465,0.485,0.4745,0.877,0.0,0.011165790388503629,0.007344079247938437
kul3,reference,5,50,0.5,pseudobulk_patient_t,5,2000.0,2000,0.0,464.0,1982.0,8.866862435930862,0.2,0.255,0.232,0.991,0.0,0.009438643970401681,0.002111752826445369
kul3,reference,5,50,1.0,patient_cluster,5,2000.0,2000,0.0,366.0,1634.0,8.175459723969768,0.1675,0.2125,0.183,0.817,0.0,0.008646126300257243,0.008646126300257245
kul3,reference,5,50,1.0,percentile,5,2000.0,2000,0.0,384.0,1616.0,8.384612500000001,0.175,0.2,0.192,0.808,0.0,0.008807269724494646,0.008807269724494646
kul3,reference,5,50,1.0,pseudobulk_patient_t,5,2000.0,2000,0.0,174.0,1826.0,13.511222136173156,0.0775,0.095,0.087,0.913,0.0,0.006302023484564303,0.006302023484564302
kul3,reference,5,100,0.5,patient_cluster,5,2000.0,2000,0.0,880.0,1978.0,5.219198830882717,0.4125,0.4525,0.44,0.989,0.0,0.011099549540409287,0.0023322735688593665
kul3,reference,5,100,0.5,percentile,5,2000.0,2000,0.0,1080.0,1906.0,4.22093125,0.5025,0.56,0.54,0.953,0.0,0.011144505372604026,0.004732388403332932
